0.6579338,-1.157421,15.14412 0.6579338,-1.496362,15.14412
0.13457,-1.187805,15.12005 0.13457,-1.515026,15.12005
0.8227601,-1.156932,15.03543 0.8227601,-1.475847,15.03543
0.1706909,-1.419168,15.06157 0.1706909,-1.687152,15.06157
0.4982561,-1.309824,15.04203 0.4982561,-1.637986,15.04203
0.6320811,-1.168872,15.08306 0.6320811,-1.850952,15.08306
0.4884045,-0.8351989,15.21867 0.4884045,-1.476677,15.21867
0.4641621,-1.167938,15.03927 0.4641621,-1.822941,15.03927
0.5143129,-1.12612,15.02493 0.5143129,-1.783056,15.02493
0.6711442,-1.195025,15.19747 0.6711442,-1.551626,15.19747
0.2748514,-1.249503,15.14023 0.2748514,-1.92464,15.14023
-3.25231,-1.672169,14.42861 -3.243488,-1.692411,14.41978
4.644359,-9.01357,9.591872 4.644359,-9.121651,9.591872
20.44116,-7.844048,24.69846 20.44116,-9.035027,24.69846
10.21296,-7.899602,8.841029 10.21296,-9.033832,8.841029
24.0126,-8.315556,25.6653 24.0126,-9.5457,25.6653
231.0516,-7.073595,214.5705 231.0516,-9.056967,214.5705
21.5478,-8.343217,11.50995 21.5478,-8.78719,11.50995
60.04462,-7.205796,55.38712 60.04462,-8.904594,55.38712
68.50651,-9.477208,61.71786 68.50651,-10.01001,61.71786
113.3557,-7.531315,52.92853 113.3557,-9.040871,52.92853
21.28548,-12.99009,8.757729 21.28548,-13.48022,8.757729
17.37337,-12.61904,10.89696 17.37337,-13.1651,10.89696
235.0385,-12.77306,177.0694 235.1889,-13.50291,177.2197
220.9265,-7.740726,169.9293 220.9265,-14.58686,169.9293
19.99063,-12.70043,11.98114 19.99063,-13.17488,11.98114
35.42623,-13.05816,29.91374 35.42623,-13.56494,29.91374
39.12186,-10.3855,46.35776 39.12186,-17.13264,46.35776
37.9719,-12.70188,46.09348 37.9719,-13.22428,46.09348
37.28238,-13.02117,47.63671 37.28238,-13.57669,47.63671
37.39584,-12.73171,47.20669 37.39584,-13.26838,47.20669
102.7574,-12.63623,65.68167 102.7574,-13.26756,65.68167
103.6003,-12.13646,68.66399 103.6003,-13.38865,68.66399
113.222,-12.67609,70.04541 113.222,-13.11661,70.04541
116.4842,-13.21306,73.30759 116.4842,-13.76483,73.30759
8.460464,-12.10608,10.70166 8.460464,-12.57012,10.70166
242.7371,-12.21451,203.5791 242.7371,-13.99074,203.5791
15.34783,-12.36151,10.47381 15.34783,-12.83733,10.47381
248.9341,-12.96439,216.949 248.9341,-13.67885,216.949
230.9854,-13.2819,201.9971 230.9854,-14.04954,201.9971
243.6164,-13.0544,202.2345 243.6164,-13.78962,202.2345
1.089409,-13.3713,34.14151 1.089409,-13.45068,34.17529
1.246366,-13.30221,15.04116 1.246366,-13.36944,15.04116
-1.02875,2.68504,9.733627 -1.028751,-13.37666,31.72198
